OBJECTID,Join_Count,TARGET_FID,ID,Status,Facility_N,Product_Ty,Product,Facility_o,Facility_A,Facility_C,Facility_S,Facility_Z,Facility_P,Latitude,Longitude,Facility_L,Facility_1,Facility_W,Production,Producti_1,State_FIPS,County_FIP,State_Coun,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID_x,GEOIDFQ,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Unnamed__0,Name,totalPop,whitePop,blackPop,indigenous,asianPop,hawaiiPaci,hispanicPo,B03001_027,malePop,femalePop,lessHighSc,highSchl,someUni,uniBach,uniGrad,incBelowPo,incLessHal,unemployed,miningOGJo,state,county,tract,blockGroup,menHealthC,womenHealt,disabledPo,GEOID_y,geoid_form,P_D2_PM25,P_D2_OZONE,P_D2_DSLPM,P_D2_CANCER,P_D2_RESP,P_D2_RSEI_AIR,P_D2_PTRAF,P_D2_LDPNT,P_D2_PNPL,P_D2_PRMP,P_D2_PTSDF,P_D2_UST,P_D2_PWDIS,P_D5_PM25,P_D5_OZONE,P_D5_DSLPM,P_D5_CANCER,P_D5_RESP,P_D5_RSEI_AIR,P_D5_PTRAF,P_D5_LDPNT,P_D5_PNPL,P_D5_PRMP,P_D5_PTSDF,P_D5_UST,P_D5_PWDIS,P_DEMOGIDX_2,P_DEMOGIDX_5,P_PEOPCOLORPCT,P_LOWINCPCT,P_UNEMPPCT,P_LINGISOPCT,P_LESSHSPCT,P_UNDER5PCT,P_OVER64PCT,P_LIFEEXPPCT,P_PM25,P_OZONE,P_DSLPM,P_CANCER,P_RESP,P_RSEI_AIR,P_PTRAF,P_LDPNT,P_PNPL,P_PRMP,P_PTSDF,P_UST,P_PWDIS,EXCEED_COUNT_80_SUP,T_D2_PM25,T_D2_OZONE,T_D2_DSLPM,T_D2_CANCER,T_D2_RESP,T_D2_RSEI_AIR,T_D2_PTRAF,T_D2_LDPNT,T_D2_PNPL,T_D2_PRMP,T_D2_PTSDF,T_D2_UST,T_D2_PWDIS,T_D5_PM25,T_D5_OZONE,T_D5_DSLPM,T_D5_CANCER,T_D5_RESP,T_D5_RSEI_AIR,T_D5_PTRAF,T_D5_LDPNT,T_D5_PNPL,T_D5_PRMP,T_D5_PTSDF,T_D5_UST,T_D5_PWDIS,T_DEMOGIDX_2,T_DEMOGIDX_5,T_PEOPCOLORPCT,T_LOWINCPCT,T_UNEMPPCT,T_LINGISOPCT,T_LESSHSPCT,T_UNDER5PCT,T_OVER64PCT,T_LIFEEXPPCT,T_OZONE,T_DSLPM,T_CANCER,T_RESP,T_RSEI_AIR,T_PTRAF,T_LDPNT,T_PNPL,T_PRMP,T_PTSDF,T_UST,T_PWDIS,ID_1,STATE_NAME,ST_ABBREV,CNTY_NAME,REGION,ACSTOTPOP,ACSIPOVBAS,ACSEDUCBAS,ACSTOTHH,ACSTOTHU,ACSUNEMPBAS,DEMOGIDX_2,DEMOGIDX_5,PEOPCOLOR,PEOPCOLORPCT,LOWINCOME,LOWINCPCT,UNEMPLOYED_1,UNEMPPCT,LINGISO,LINGISOPCT,LESSHS,LESSHSPCT,UNDER5,UNDER5PCT,OVER64,OVER64PCT,LIFEEXPPCT,PM25,OZONE,DSLPM,CANCER,RESP,RSEI_AIR,PTRAF,PRE1960,PRE1960PCT,PNPL,PRMP,PTSDF,UST,PWDIS,D2_PM25,D5_PM25,D2_OZONE,D5_OZONE,D2_DSLPM,D5_DSLPM,D2_CANCER,D5_CANCER,D2_RESP,D5_RESP,D2_RSEI_AIR,D5_RSEI_AIR,D2_PTRAF,D5_PTRAF,D2_LDPNT,D5_LDPNT,D2_PNPL,D5_PNPL,D2_PRMP,D5_PRMP,D2_PTSDF,D5_PTSDF,D2_UST,D5_UST,D2_PWDIS,D5_PWDIS,B_DEMOGIDX_2,B_DEMOGIDX_5,B_PEOPCOLORPCT,B_LOWINCPCT,B_UNEMPPCT,B_LINGISOPCT,B_LESSHSPCT,B_UNDER5PCT,B_OVER64PCT,B_LIFEEXPPCT,B_PM25,B_OZONE,B_DSLPM,B_CANCER,B_RESP,B_RSEI_AIR,B_PTRAF,B_LDPNT,B_PNPL,B_PRMP,B_PTSDF,B_UST,B_PWDIS,B_D2_PM25,B_D5_PM25,B_D2_OZONE,B_D5_OZONE,B_D2_DSLPM,B_D5_DSLPM,B_D2_CANCER,B_D5_CANCER,B_D2_RESP,B_D5_RESP,B_D2_RSEI_AIR,B_D5_RSEI_AIR,B_D2_PTRAF,B_D5_PTRAF,B_D2_LDPNT,B_D5_LDPNT,B_D2_PNPL,B_D5_PNPL,B_D2_PRMP,B_D5_PRMP,B_D2_PTSDF,B_D5_PTSDF,B_D2_UST,B_D5_UST,B_D2_PWDIS,B_D5_PWDIS,T_PM25,AREALAND,AREAWATER,NPL_CNT,TSDF_CNT,EXCEED_COUNT_80,SYMBOLOGY_EXCEED_COUNT_80,EXCEED_COUNT_90,EXCEED_COUNT_90_SUP
21,1,59,5122,C,SGL Carbon LLC Morganton,Non-cell Components,Thermal Systems,sglcarbon.com,307 Jamestown Road,Morganton,NC,28655,828-437-3221,35.73179104,-81.72425444,35.73179104,-81.72425444,4, , ,37,023,37023,37,023,021400,3,370230214003,1500000US370230214003,Block Group 3,G5030,S,11027895,0,+35.7286558,-081.7319329,60,"Block Group 3; Census Tract 214; Burke County; North Carolina""",1578,1028,203,119,178,0,0,0,688,890,0,0,0,0,0,0,192,0,0,37,023,021400,3,0,0,0,3.7023E+15,370230214003,54,57,69,80,85,88,67,76,31,85,67,78,85,58,64,80,89,92,94,78,82,29,93,77,87,92,71,85,58,83,89,83,78,93,67,75,29,32,51,52,70,88,51,57,13,89,49,69,81,8,54 %ile,57 %ile,69 %ile,80 %ile,85 %ile,88 %ile,67 %ile,76 %ile,31 %ile,85 %ile,67 %ile,78 %ile,85 %ile,58 %ile,64 %ile,80 %ile,89 %ile,92 %ile,94 %ile,78 %ile,82 %ile,29 %ile,93 %ile,77 %ile,87 %ile,92 %ile,71 %ile,85 %ile,58 %ile,83 %ile,89 %ile,83 %ile,78 %ile,93 %ile,67 %ile,75 %ile,32 %ile,51 %ile,52 %ile,70 %ile,88 %ile,51 %ile,57 %ile,13 %ile,89 %ile,49 %ile,69 %ile,81 %ile,370230214003,North Carolina,NC,Burke County,4,1519,1519,955,634,753,667,0.463133641,0.23051353,600,0.394996708,807,0.531270573,89,0.133433283,54,0.085173502,173,0.181151833,196,0.129032258,303,0.199473338,0.221538462,7.383964219,59.05279,0.222386211,30,0.4,5804.978453,79.48297054,221,0.293492696,0.016441475,1.064634611,0.472688354,3.375718741,0.094266236,13.43087559,6.68489237,14.82027651,7.37643296,23.61981569,11.75619003,24.08294933,11.98670356,32.41935487,16.1359471,40.75576041,20.28519064,23.61981569,11.75619003,26.39861754,13.13927121,6.020737333,2.99667589,41.21889405,20.51570417,22.69354841,11.29516297,31.95622123,15.90543357,37.51382492,18.67159593,8,9,6,9,9,9,8,10,7,8,3,4,6,6,8,9,6,6,2,9,5,7,9,6,6,6,7,7,9,9,9,9,10,9,10,7,8,8,9,4,3,9,10,7,8,8,9,9,10,29 %ile,11027895,0,0,0,5,1-13 EJ Indexes over 80th %tile,0,4
22,1,62,5125,C,SGL Carbon LLC Valencia,Non-cell Components,Thermal Systems,sglcarbon.com,28176 No. Avenue Stanford,Valencia,CA,91355,661-257-0500,34.43605576,-118.5889088,34.43605576,-118.5889088, , , ,06,037,06037,06,037,920121,2,060379201212,1500000US060379201212,Block Group 2,G5030,S,9396971,13278,+34.4504296,-118.5811572,6501,"Block Group 2; Census Tract 9201.21; Los Angeles County; California""",4153,1736,404,0,1286,0,0,0,1907,2246,0,0,0,0,0,0,71,0,0,06,037,920121,2,0,0,0,6.03792E+14,060379201212,38,84,35,38,59,42,38,0,49,73,80,0,83,12,47,8,7,33,13,12,0,14,36,46,0,44,62,6,75,19,56,72,14,65,18,,22,98,18,5,31,25,22,0,30,69,92,0,93,0,38 %ile,84 %ile,35 %ile,38 %ile,59 %ile,42 %ile,38 %ile,0 %ile,49 %ile,73 %ile,80 %ile,0 %ile,83 %ile,12 %ile,47 %ile,8 %ile,7 %ile,33 %ile,13 %ile,12 %ile,0 %ile,14 %ile,36 %ile,46 %ile,0 %ile,44 %ile,62 %ile,6 %ile,75 %ile,19 %ile,56 %ile,72 %ile,14 %ile,65 %ile,18 %ile,,98 %ile,18 %ile,5 %ile,31 %ile,25 %ile,22 %ile,0 %ile,30 %ile,69 %ile,92 %ile,0 %ile,93 %ile,060379201212,California,CA,Los Angeles County,9,3876,3876,2288,988,988,1821,0.37745098,0.051240522,2509,0.647316822,417,0.107585139,85,0.04667765,38,0.038461538,28,0.012237762,254,0.065531476,310,0.07997936,,7.078422192,77.27581,0.106255725,20,0.3,119.0070803,16.80354845,0,0,0.031971862,0.325365495,6.399187965,0,2.381507937,8.30392156,1.127291484,36.99019604,5.021571156,6.79411764,0.922329396,1.8872549,0.25620261,11.70098038,1.588456182,9.4362745,1.28101305,8.30392156,1.127291484,0,0,11.3235294,1.53721566,26.04411762,3.535596018,34.72549016,4.714128024,0,0,35.10294114,4.765368546,7,1,8,2,6,8,2,7,2,,3,11,2,1,4,3,3,1,4,7,10,1,10,4,2,9,5,4,1,4,1,6,4,5,2,4,2,1,1,5,2,8,4,9,5,1,1,9,5,22 %ile,9396971,13278,0,10,3,1-13 EJ Indexes over 80th %tile,0,0
23,1,63,5126,C,"Simpliphi Power, Inc.",Cell Assemblies/ Groupings,Racks / Cabinets,simpliphipower.com,3100 Camino Del Sol,Oxnard,CA,93030,805-640-6700,34.20435412,-119.1326235,34.20435412,-119.1326235,35, , ,06,111,06111,06,111,004902,1,061110049021,1500000US061110049021,Block Group 1,G5030,S,9935633,0,+34.2085810,-119.1337003,211,"Block Group 1; Census Tract 49.02; Ventura County; California""",2029,712,7,0,25,0,0,0,1008,1021,0,0,0,0,0,0,47,0,0,06,111,004902,1,0,0,0,6.111E+14,061110049021,49,79,81,92,77,70,92,80,93,98,95,0,98,47,87,88,95,82,73,96,83,96,98,98,0,99,91,96,91,81,74,97,97,52,53,74,16,44,49,52,31,30,75,43,74,99,86,0,99,10,49 %ile,79 %ile,81 %ile,92 %ile,77 %ile,70 %ile,92 %ile,80 %ile,93 %ile,98 %ile,95 %ile,0 %ile,98 %ile,47 %ile,87 %ile,88 %ile,95 %ile,82 %ile,73 %ile,96 %ile,83 %ile,96 %ile,98 %ile,98 %ile,0 %ile,99 %ile,91 %ile,96 %ile,91 %ile,81 %ile,74 %ile,97 %ile,97 %ile,52 %ile,53 %ile,74 %ile,44 %ile,49 %ile,52 %ile,31 %ile,30 %ile,75 %ile,43 %ile,74 %ile,99 %ile,86 %ile,0 %ile,99 %ile,061110049021,California,CA,Ventura County,9,2006,2006,1304,470,492,799,0.721335992,0.319838301,1873,0.933698903,1021,0.508973081,64,0.080100125,173,0.368085106,551,0.422546012,102,0.050847458,327,0.163010967,0.219487179,6.789771781,60.39589,0.214319948,30,0.3,179.3053884,207.8053954,79,0.160569106,0.129066149,8.964573873,4.045703963,0,77.94507644,11.54137587,5.117412816,31.73878365,14.07288524,35.34546361,15.67207675,37.50947158,16.63159165,22.36141575,9.914987331,21.64007976,9.59514903,54.1001994,23.98787258,31.01744766,13.75304694,53.37886341,23.66803427,71.41226321,31.6639918,62.03489531,27.50609389,0,0,71.41226321,31.6639918,10,11,10,9,8,11,11,6,6,8,2,5,5,6,4,4,8,5,8,11,9,1,11,5,5,8,9,9,9,10,11,8,9,8,8,10,11,9,9,10,11,11,11,11,11,1,1,11,11,16 %ile,9935633,0,0,4,8,1-13 EJ Indexes over 80th %tile,6,6
24,1,64,5127,C,"Simpliphi Power, Inc.",Cell Assemblies/ Groupings,Packs,simpliphipower.com,3100 Camino Del Sol,Oxnard,CA,93030,805-640-6700,34.20435412,-119.1326235,34.20435412,-119.1326235,35, , ,06,111,06111,06,111,004902,1,061110049021,1500000US061110049021,Block Group 1,G5030,S,9935633,0,+34.2085810,-119.1337003,211,"Block Group 1; Census Tract 49.02; Ventura County; California""",2029,712,7,0,25,0,0,0,1008,1021,0,0,0,0,0,0,47,0,0,06,111,004902,1,0,0,0,6.111E+14,061110049021,49,79,81,92,77,70,92,80,93,98,95,0,98,47,87,88,95,82,73,96,83,96,98,98,0,99,91,96,91,81,74,97,97,52,53,74,16,44,49,52,31,30,75,43,74,99,86,0,99,10,49 %ile,79 %ile,81 %ile,92 %ile,77 %ile,70 %ile,92 %ile,80 %ile,93 %ile,98 %ile,95 %ile,0 %ile,98 %ile,47 %ile,87 %ile,88 %ile,95 %ile,82 %ile,73 %ile,96 %ile,83 %ile,96 %ile,98 %ile,98 %ile,0 %ile,99 %ile,91 %ile,96 %ile,91 %ile,81 %ile,74 %ile,97 %ile,97 %ile,52 %ile,53 %ile,74 %ile,44 %ile,49 %ile,52 %ile,31 %ile,30 %ile,75 %ile,43 %ile,74 %ile,99 %ile,86 %ile,0 %ile,99 %ile,061110049021,California,CA,Ventura County,9,2006,2006,1304,470,492,799,0.721335992,0.319838301,1873,0.933698903,1021,0.508973081,64,0.080100125,173,0.368085106,551,0.422546012,102,0.050847458,327,0.163010967,0.219487179,6.789771781,60.39589,0.214319948,30,0.3,179.3053884,207.8053954,79,0.160569106,0.129066149,8.964573873,4.045703963,0,77.94507644,11.54137587,5.117412816,31.73878365,14.07288524,35.34546361,15.67207675,37.50947158,16.63159165,22.36141575,9.914987331,21.64007976,9.59514903,54.1001994,23.98787258,31.01744766,13.75304694,53.37886341,23.66803427,71.41226321,31.6639918,62.03489531,27.50609389,0,0,71.41226321,31.6639918,10,11,10,9,8,11,11,6,6,8,2,5,5,6,4,4,8,5,8,11,9,1,11,5,5,8,9,9,9,10,11,8,9,8,8,10,11,9,9,10,11,11,11,11,11,1,1,11,11,16 %ile,9935633,0,0,4,8,1-13 EJ Indexes over 80th %tile,6,6
25,1,65,5129,C,Sparkz Inc.,Cell Assemblies/ Groupings,Packs,www.sparkz.energy,5625 Brisa St,Livermore,CA,94550,(510) 789-3410,37.68,-121.76,37.68,-121.76,50,1,GWh/Yr,06,001,06001,06,001,451503,4,060014515034,1500000US060014515034,Block Group 4,G5030,S,406507,0,+37.6823664,-121.7590893,1105,"Block Group 4; Census Tract 4515.03; Alameda County; California""",948,409,0,0,281,0,0,0,505,443,0,0,0,0,0,0,47,0,0,06,001,451503,4,0,0,0,6.00145E+14,060014515034,33,85,61,42,27,50,78,90,85,46,84,78,67,19,77,47,29,18,31,68,80,77,30,76,67,49,70,48,75,49,54,0,68,60,45,31,15,84,39,5,4,26,73,100,86,23,87,69,44,1,33 %ile,85 %ile,61 %ile,42 %ile,27 %ile,50 %ile,78 %ile,90 %ile,85 %ile,46 %ile,84 %ile,78 %ile,67 %ile,19 %ile,77 %ile,47 %ile,29 %ile,18 %ile,31 %ile,68 %ile,80 %ile,77 %ile,30 %ile,76 %ile,67 %ile,49 %ile,70 %ile,48 %ile,75 %ile,49 %ile,54 %ile,0 %ile,68 %ile,60 %ile,45 %ile,31 %ile,84 %ile,39 %ile,5 %ile,4 %ile,26 %ile,73 %ile,100 %ile,86 %ile,23 %ile,87 %ile,69 %ile,44 %ile,060014515034,California,CA,Alameda County,9,756,736,547,257,257,453,0.459817834,0.122838511,497,0.657407407,193,0.262228261,20,0.04415011,0,0,73,0.13345521,45,0.05952381,108,0.142857143,0.174358974,6.739659041,66.8469,0.17683369,20,0.2,125.8895571,187.6168129,257,1,0.210389525,0.082771461,4.265898842,3.334572699,0.000576644,6.89726751,1.842577665,38.62469806,10.31843492,17.93289553,4.790701929,2.29908917,0.614192555,1.839271336,0.491354044,11.95526368,3.193801286,33.56670188,8.967211303,45.9817834,12.2838511,39.54433372,10.56411195,10.57581018,2.825285753,40.00415156,10.68695046,31.72743055,8.475857259,20.2319847,5.404894484,8,5,8,5,6,1,7,7,5,4,2,9,4,1,1,3,8,11,9,3,9,7,5,4,2,9,8,7,5,5,3,3,2,6,4,8,7,10,9,9,8,5,4,9,8,8,7,7,5,15 %ile,406507,0,0,0,4,1-13 EJ Indexes over 80th %tile,1,0
26,1,66,5132,P,Stellantis-Samsung SDI Kokomo Battery Manufacturing Plant,Cell Assemblies/ Groupings,Modules/ Arrays,"Stellantis.com
Samsung",DNA,Kokomo,IN,DNA,DNA,40.4955399,-86.13101474,40.4955399,-86.13101474,1400,23,GWh/yr,18,067,18067,18,067,000200,2,180670002002,1500000US180670002002,Block Group 2,G5030,S,694105,0,+40.4906331,-086.1298960,1,"Block Group 2; Census Tract 2; Howard County; Indiana""",467,350,63,44,0,0,0,0,171,296,0,0,0,0,0,0,54,0,0,18,067,000200,2,0,0,0,1.8067E+15,180670002002,82,83,85,49,32,96,92,90,97,90,74,94,82,88,90,91,49,30,98,95,94,98,93,81,97,86,87,94,67,97,0,0,95,20,31,96,52,55,62,5,4,93,80,70,97,73,43,89,50,11,82 %ile,83 %ile,85 %ile,49 %ile,32 %ile,96 %ile,92 %ile,90 %ile,97 %ile,90 %ile,74 %ile,94 %ile,82 %ile,88 %ile,90 %ile,91 %ile,49 %ile,30 %ile,98 %ile,95 %ile,94 %ile,98 %ile,93 %ile,81 %ile,97 %ile,86 %ile,87 %ile,94 %ile,67 %ile,97 %ile,0 %ile,0 %ile,95 %ile,20 %ile,31 %ile,96 %ile,55 %ile,62 %ile,5 %ile,4 %ile,93 %ile,80 %ile,70 %ile,97 %ile,73 %ile,43 %ile,89 %ile,50 %ile,180670002002,Indiana,IN,Howard County,5,569,569,377,332,503,308,0.665202109,0.290821088,298,0.523725835,459,0.806678383,0,0,0,0,142,0.376657825,10,0.017574692,63,0.110720562,0.270769231,8.271240548,61.77622,0.268384829,20,0.2,10153.96584,253.0446484,224,0.445328032,0.89166833,0.424174466,0.3054112,10.14388819,0.001224841,34.59050967,15.12269658,36.586116,15.99515984,41.24253076,18.03090746,3.326010545,1.45410544,2.660808436,1.163284352,61.86379614,27.04636118,53.21616872,23.26568704,46.56414763,20.35747616,64.52460457,28.20964554,48.55975396,21.22993942,28.60369069,12.50530678,59.2029877,25.88307683,33.26010545,14.5410544,9,10,7,11,1,1,11,3,4,11,6,6,7,1,1,10,9,8,11,8,5,9,6,9,9,9,10,9,10,5,5,4,4,11,11,10,11,10,10,11,11,10,10,8,9,10,11,9,9,52 %ile,694105,0,0,0,10,1-13 EJ Indexes over 80th %tile,6,8
27,1,68,5137,C,Tenergy Corp,Cell Assemblies/ Groupings,Packs,tenergy.com,436 Kato Terrace,Fremont,CA,94539,510-687-0388,37.4649523,-121.9180595,37.4649523,-121.9180595,75, , ,06,001,06001,06,001,441503,2,060014415032,1500000US060014415032,Block Group 2,G5030,S,24204638,190514,+37.4776626,-121.9625454,863,"Block Group 2; Census Tract 4415.03; Alameda County; California""",2160,295,0,31,1631,34,0,0,1149,1011,0,0,0,0,0,0,35,0,0,06,001,441503,2,0,0,0,6.00144E+14,060014415032,56,53,75,43,66,77,86,48,84,76,88,73,52,26,22,50,18,42,44,62,22,60,48,65,46,22,73,25,89,11,79,71,41,70,9,21,30,27,60,5,31,55,89,23,78,60,94,55,27,0,56 %ile,53 %ile,75 %ile,43 %ile,66 %ile,77 %ile,86 %ile,48 %ile,84 %ile,76 %ile,88 %ile,73 %ile,52 %ile,26 %ile,22 %ile,50 %ile,18 %ile,42 %ile,44 %ile,62 %ile,22 %ile,60 %ile,48 %ile,65 %ile,46 %ile,22 %ile,73 %ile,25 %ile,89 %ile,11 %ile,79 %ile,71 %ile,41 %ile,70 %ile,9 %ile,21 %ile,27 %ile,60 %ile,5 %ile,31 %ile,55 %ile,89 %ile,23 %ile,78 %ile,60 %ile,94 %ile,55 %ile,27 %ile,060014415032,California,CA,Alameda County,9,2318,2318,1393,647,647,1152,0.487057808,0.084768394,2099,0.905522002,159,0.068593615,108,0.09375,24,0.037094281,84,0.060301508,165,0.071182053,111,0.047886109,0.164102564,7.409670137,58.38635,0.259432332,20,0.3,822.5486682,456.6589995,23,0.035548686,0.147271088,0.218285227,7.86369453,1.667848646,6.34854E-05,14.61173424,2.54305182,13.15056082,2.288746638,29.22346848,5.08610364,2.43528904,0.42384197,15.09879205,2.627820214,26.78817944,4.66226167,43.34814491,7.544387066,11.20232958,1.949673062,37.99050902,6.611934732,29.22346848,5.08610364,45.78343395,7.968229036,26.78817944,4.66226167,13.15056082,2.288746638,8,3,9,2,8,8,5,8,1,3,4,3,7,1,4,6,9,3,8,7,10,6,3,6,3,6,3,8,6,5,2,7,5,8,5,9,7,5,3,9,7,8,5,9,7,8,5,6,3,30 %ile,24204638,190514,0,11,3,1-13 EJ Indexes over 80th %tile,0,0
28,1,69,5138,P,Gigafactory Texas,Cell Assemblies/ Groupings,Packs,www.tesla.com/gigafactory,13101 Tesla Drive Austin,Austin,TX,78725,650 6815000,30.23,-97.61,30.23,-97.61, ,100,GWh/Yr,48,453,48453,48,453,002216,1,484530022161,1500000US484530022161,Block Group 1,G5030,S,25333069,1003368,+30.2423658,-097.6171675,238,"Block Group 1; Census Tract 22.16; Travis County; Texas""",3015,1546,198,8,0,0,0,0,1466,1549,0,0,0,0,0,0,103,0,0,48,453,002216,1,0,0,0,4.8453E+15,484530022161,89,77,53,46,29,28,61,46,17,82,58,66,75,86,71,41,39,24,17,53,31,9,77,49,57,66,79,69,77,72,0,0,82,32,33,70,83,52,24,5,4,10,35,19,6,67,30,38,48,1,89 %ile,77 %ile,53 %ile,46 %ile,29 %ile,28 %ile,61 %ile,46 %ile,17 %ile,82 %ile,58 %ile,66 %ile,75 %ile,86 %ile,71 %ile,41 %ile,39 %ile,24 %ile,17 %ile,53 %ile,31 %ile,9 %ile,77 %ile,49 %ile,57 %ile,66 %ile,79 %ile,69 %ile,77 %ile,72 %ile,0 %ile,0 %ile,82 %ile,32 %ile,33 %ile,70 %ile,52 %ile,24 %ile,5 %ile,4 %ile,10 %ile,35 %ile,19 %ile,6 %ile,67 %ile,30 %ile,38 %ile,48 %ile,484530022161,Texas,TX,Travis County,6,3280,3280,2620,1224,1276,1945,0.55152439,0.169558491,2231,0.680182927,1387,0.422865854,0,0,0,0,549,0.209541985,100,0.030487805,378,0.115243902,0.215384615,9.465878082,61.39773,0.125036855,20,0.2,13.81458227,39.75631898,29,0.022727273,0.012269569,0.290437468,0.159482742,0.425762544,0.00097647,45.77652437,14.07335475,28.67926828,8.817041532,13.23658536,4.069403784,2.75762195,0.847792455,2.20609756,0.678233964,5.5152439,1.69558491,19.30335365,5.934547185,10.47896341,3.221611329,3.30914634,1.017350946,36.95213413,11.3604189,16.5457317,5.08675473,20.95792682,6.443222658,26.47317072,8.138807568,8,7,8,8,1,1,9,4,4,8,9,6,3,1,1,2,4,2,1,7,4,4,5,9,9,8,8,6,5,5,4,3,3,3,2,7,6,5,4,2,1,9,8,6,5,7,6,8,7,83 %ile,25333069,1003368,0,0,2,1-13 EJ Indexes over 80th %tile,0,0
29,1,70,5139,C,Gigafactory 1,Cell Assemblies/ Groupings,Packs,tesla.com,Electric Avenue,Sparks,NV,89434,650-681-5000,39.537646,-119.4389861,39.537646,-119.4389861,7000,20,GWh,32,029,32029,32,029,970200,1,320299702001,1500000US320299702001,Block Group 1,G5030,S,349656501,1178733,+39.5188996,-119.5017032,0,"Block Group 1; Census Tract 9702; Storey County; Nevada""",1113,702,79,0,45,0,0,0,563,550,0,0,0,0,0,0,9,0,0,32,029,970200,1,0,0,0,3.203E+15,320299702001,5,56,22,38,25,84,67,0,47,54,51,44,82,3,47,11,30,18,80,64,0,36,46,43,32,79,60,49,63,51,36,67,66,37,94,30,2,40,10,5,4,94,64,0,29,38,35,24,91,1,5 %ile,56 %ile,22 %ile,38 %ile,25 %ile,84 %ile,67 %ile,0 %ile,47 %ile,54 %ile,51 %ile,44 %ile,82 %ile,3 %ile,47 %ile,11 %ile,30 %ile,18 %ile,80 %ile,64 %ile,0 %ile,36 %ile,46 %ile,43 %ile,32 %ile,79 %ile,60 %ile,49 %ile,63 %ile,51 %ile,36 %ile,67 %ile,66 %ile,37 %ile,94 %ile,30 %ile,40 %ile,10 %ile,5 %ile,4 %ile,94 %ile,64 %ile,0 %ile,29 %ile,38 %ile,35 %ile,24 %ile,91 %ile,320299702001,Nevada,NV,Storey County,9,1253,1253,880,594,603,393,0.365921788,0.124769518,573,0.457302474,344,0.274541101,9,0.022900763,16,0.026936027,111,0.126136364,45,0.035913807,460,0.367118915,0.173333333,4.745843726,59.96046,0.081627581,20,0.2,12893.76844,130.732231,0,0,0.031486378,0.12530259,0.195975916,0.029776681,1.066409368,0.731843576,0.249539036,14.63687152,4.99078072,3.65921788,1.24769518,1.82960894,0.62384759,1.463687152,0.499078072,34.39664807,11.72833469,23.41899443,7.985249152,0,0,10.61173185,3.618316022,13.90502794,4.741241684,12.80726258,4.36693313,8.782122912,2.994468432,33.29888271,11.35402614,7,5,7,6,4,7,7,4,10,4,1,5,2,1,1,10,7,1,3,4,4,3,10,1,1,6,5,3,2,4,4,3,2,9,9,7,7,1,1,5,4,6,5,6,5,5,4,9,8,2 %ile,349601048,1178615,0,5,2,1-13 EJ Indexes over 80th %tile,0,0
30,1,71,5140,C,Gigafactory 1,Cell Assemblies/ Groupings,Racks / Cabinets,tesla.com,Electric Avenue,Sparks,NV,89434,650-681-5000,39.537646,-119.4389861,39.537646,-119.4389861,7000,20,GWh,32,029,32029,32,029,970200,1,320299702001,1500000US320299702001,Block Group 1,G5030,S,349656501,1178733,+39.5188996,-119.5017032,0,"Block Group 1; Census Tract 9702; Storey County; Nevada""",1113,702,79,0,45,0,0,0,563,550,0,0,0,0,0,0,9,0,0,32,029,970200,1,0,0,0,3.203E+15,320299702001,5,56,22,38,25,84,67,0,47,54,51,44,82,3,47,11,30,18,80,64,0,36,46,43,32,79,60,49,63,51,36,67,66,37,94,30,2,40,10,5,4,94,64,0,29,38,35,24,91,1,5 %ile,56 %ile,22 %ile,38 %ile,25 %ile,84 %ile,67 %ile,0 %ile,47 %ile,54 %ile,51 %ile,44 %ile,82 %ile,3 %ile,47 %ile,11 %ile,30 %ile,18 %ile,80 %ile,64 %ile,0 %ile,36 %ile,46 %ile,43 %ile,32 %ile,79 %ile,60 %ile,49 %ile,63 %ile,51 %ile,36 %ile,67 %ile,66 %ile,37 %ile,94 %ile,30 %ile,40 %ile,10 %ile,5 %ile,4 %ile,94 %ile,64 %ile,0 %ile,29 %ile,38 %ile,35 %ile,24 %ile,91 %ile,320299702001,Nevada,NV,Storey County,9,1253,1253,880,594,603,393,0.365921788,0.124769518,573,0.457302474,344,0.274541101,9,0.022900763,16,0.026936027,111,0.126136364,45,0.035913807,460,0.367118915,0.173333333,4.745843726,59.96046,0.081627581,20,0.2,12893.76844,130.732231,0,0,0.031486378,0.12530259,0.195975916,0.029776681,1.066409368,0.731843576,0.249539036,14.63687152,4.99078072,3.65921788,1.24769518,1.82960894,0.62384759,1.463687152,0.499078072,34.39664807,11.72833469,23.41899443,7.985249152,0,0,10.61173185,3.618316022,13.90502794,4.741241684,12.80726258,4.36693313,8.782122912,2.994468432,33.29888271,11.35402614,7,5,7,6,4,7,7,4,10,4,1,5,2,1,1,10,7,1,3,4,4,3,10,1,1,6,5,3,2,4,4,3,2,9,9,7,7,1,1,5,4,6,5,6,5,5,4,9,8,2 %ile,349601048,1178615,0,5,2,1-13 EJ Indexes over 80th %tile,0,0
